final_institution,post_subinstitution,original_institution
HASTINGS CENTER INC,THE HASTINGS CENTER,THE HASTINGS CENTER
"HAUPTMAN-WOODWARD MEDICAL RESEARCH INSTITUTE, INC.","HAUPTMAN-WOODWARD MEDICAL RESEARCH INSTITUTE, INC.","HAUPTMAN-WOODWARD MEDICAL RESEARCH INSTITUTE, INC."
HAVERFORD COLLEGE,THE CORPORATION OF HAVERFORD COLLEGE,THE CORPORATION OF HAVERFORD COLLEGE
HEALTH PARTNERS RESEARCH FOUNDATION,HEALTH PARTNERS RESEARCH FOUNDATION,HEALTH PARTNERS RESEARCH FOUNDATION
HEBREW HOME OF GREATER WASHINGTON,HEBREW HOME OF GREATER WASHINGTON,HEBREW HOME OF GREATER WASHINGTON
HEBREW REHABILITATION CENTER FOR AGED,HEBREW REHABILITATION CENTER FOR AGED,HEBREW REHABILITATION CENTER FOR AGED
HEKTOEN INSTITUTE FOR MEDICAL RESEARCH,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH
HELEN HAYES HOSPITAL,,RELEVANT INSTITUTION NOT IN AGREEMENTS
HENNEPIN COUNTY MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
HENRY FORD HEALTH SYSTEM,HENRY FORD HEALTH SYSTEM IDC,HENRY FORD HEALTH SYSTEM IDC
HENRY M. JACKSON FOUNDATION FOR THE ADVANCEMENT OF MILITARY MEDICINE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
"HISPANIC HEALTH COUNCIL, INC.","HISPANIC HEALTH COUNCIL, INC.","HISPANIC HEALTH COUNCIL, INC."
HOFSTRA UNIVERSITY,HOFSTRA UNIVERSITY,HOFSTRA UNIVERSITY
HOPE COLLEGE,HOPE COLLEGE,HOPE COLLEGE
HOSPITAL FOR JOINT DISEASES ORTHOPAEDIC INSTITUTE,HOSPITAL FOR JOINT DISEASES ORTHOPAEDIC INSTITUTE,HOSPITAL FOR JOINT DISEASES ORTHOPAEDIC INSTITUTE
HOSPITAL FOR SPECIAL SURGERY,HOSPITAL FOR SPECIAL SURGERY,HOSPITAL FOR SPECIAL SURGERY
HOUSE EAR INSTITUTE,HOUSE EAR INSTITUTE,HOUSE EAR INSTITUTE
HOWARD UNIVERSITY,HOWARD UNIVERSITY,HOWARD UNIVERSITY
HUMAN INTERACTION RESEARCH INSTITUTE,HUMAN INTERACTION RESEARCH INSTITUTE,HUMAN INTERACTION RESEARCH INSTITUTE
HUNTINGTON MEDICAL RESEARCH INSTITUTES,HUNTINGTON MEDICAL RESEARCH INSTITUTE,HUNTINGTON MEDICAL RESEARCH INSTITUTE
IDAHO STATE UNIVERSITY,IDAHO STATE UNIVERSITY,IDAHO STATE UNIVERSITY
IIT RESEARCH INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
ILLINOIS INSTITUTE OF TECHNOLOGY,ILLINOIS INSTITUTE OF TECHNOLOGY,ILLINOIS INSTITUTE OF TECHNOLOGY
ILLINOIS STATE PSYCHIATRIC INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
ILLINOIS STATE UNIVERSITY,ILLINOIS STATE UNIVERSITY,ILLINOIS STATE UNIVERSITY
INDIANA STATE UNIVERSITY,INDIANA STATE UNIVERSITY/TERRE HAUTE,INDIANA STATE UNIVERSITY/TERRE HAUTE
INDIANA UNIVERSITY,INDIANA UNIVERSITY,INDIANA UNIVERSITY
INDIANA UNIVERSITY - PURDUE UNIVERSITY AT INDIANAPOLIS,,RELEVANT INSTITUTION NOT IN AGREEMENTS
INDIANAPOLIS CENTER FOR ADVANCED RESEARCH,,RELEVANT INSTITUTION NOT IN AGREEMENTS
INSTITUTE FOR CANCER PREVENTION,INSTITUTION FOR CANCER PREVENTION,INSTITUTION FOR CANCER PREVENTION
INSTITUTE FOR COMMUNITY RESEARCH,"THE INSTITUTE FOR COMMUNITY RESEARCH, INC.","THE INSTITUTE FOR COMMUNITY RESEARCH, INC."
INSTITUTE FOR GENOMIC RESEARCH,,RELEVANT INSTITUTION NOT IN AGREEMENTS
INSTITUTE FOR RESEARCH IN SOCIAL BEHAVIOR,,RELEVANT INSTITUTION NOT IN AGREEMENTS
INSTITUTE OF APPLIED PHYSIOLOGY AND MEDICINE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
INSTITUTES FOR BEHAVIOR RESOURCES INC,"INSTITUTES FOR BEHAVIOR RESOURCES, INC.","INSTITUTES FOR BEHAVIOR RESOURCES, INC."
IOWA STATE UNIVERSITY,IOWA STATE UNIVERSITY,IOWA STATE UNIVERSITY
JACKSON STATE UNIVERSITY,JACKSON STATE UNIVERSITY,JACKSON STATE UNIVERSITY
JEWISH HOSPITAL AND MEDICAL CENTER OF BROOKLYN,,RELEVANT INSTITUTION NOT IN AGREEMENTS
JEWISH HOSPITAL OF SAINT LOUIS,,RELEVANT INSTITUTION NOT IN AGREEMENTS
"JOHN B. PIERCE LABORATORY, INC.","THE JOHN B. PIERCE LABORATORY, INC.","THE JOHN B. PIERCE LABORATORY, INC."
JOHN WAYNE CANCER INSTITUTE,JOHN WAYNE CANCER INSTITUTE,JOHN WAYNE CANCER INSTITUTE
JOHNS HOPKINS UNIVERSITY,THE JOHNS HOPKINS UNIVERSITY,THE JOHNS HOPKINS UNIVERSITY
JOSLIN DIABETES CENTER,JOSLIN DIABETES CENTER,JOSLIN DIABETES CENTER
JUDGE BAKER CHILDRENS CENTER,JUDGE BAKER CHILDREN'S CENTER,JUDGE BAKER CHILDREN'S CENTER
KAISER FOUNDATION RESEARCH INSTITUTE - SOUTHERN CALIFORNIA REGION,KAISER FOUNDATION RESEARCH INSTITUTE - SOUTHERN CALIFORNIA REGION,KAISER FOUNDATION RESEARCH INSTITUTE - SOUTHERN CALIFORNIA REGION
KANSAS STATE UNIVERSITY,KANSAS STATE UNIVERSITY,KANSAS STATE UNIVERSITY
KARMANOS CANCER INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
KENNEDY KRIEGER RESEARCH INSTITUTE,"KENNEDY KRIEGER RESEARCH INSTITUTE, INC.","KENNEDY KRIEGER RESEARCH INSTITUTE, INC."
KENT STATE UNIVERSITY AT KENT,KENT STATE UNIVERSITY,KENT STATE UNIVERSITY
KENYON COLLEGE,KENYON COLLEGE,KENYON COLLEGE
KIRKSVILLE COLLEGE OF OSTEOPATHIC MEDICINE,KIRKSVILLE COLLEGE OF OSTEOPATHIC MEDICINE,KIRKSVILLE COLLEGE OF OSTEOPATHIC MEDICINE
KLINE INSTITUTE FOR PSYCHIATRIC RESEARCH,KLINE RESEARCH CENTER,"RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC."
KUAKINI MEDICAL CENTER,KUAKINI MEDICAL CENTER,KUAKINI MEDICAL CENTER
LA JOLLA BIOENGINEERING INSTITUTE,LA JOLLA BIOENGINEERING INSTITUTE,LA JOLLA BIOENGINEERING INSTITUTE
LA JOLLA INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LA JOLLA INSTITUTE FOR ALLERGY & IMMUNOLOGY,LA JOLLA INSTITUTE FOR ALLERGY AND IMMUNOLOGY,LA JOLLA INSTITUTE FOR ALLERGY AND IMMUNOLOGY
LA JOLLA INSTITUTE FOR MOLECULAR MEDICINE,LA JOLLA INSTITUTE FOR MOLECULAR MEDICINE,LA JOLLA INSTITUTE FOR MOLECULAR MEDICINE
LAHEY CLINIC,LAHEY CLINIC,LAHEY CLINIC
LANKENAU INSTITUTE FOR MEDICAL RESEARCH,"LANKENAU INSTITUTE FOR MEDICAL RESEARCH, INC","LANKENAU INSTITUTE FOR MEDICAL RESEARCH, INC"
LANTERMAN STATE HOSPITAL AND DEVELOPMENT CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LDS HOSPITAL,LDS HOSPITAL,LDS HOSPITAL
LEGACY EMANUEL HOSPITAL AND HEALTH CENTER,LEGACY EMANUEL HOSPITAL AND HEALTH CENTER,LEGACY EMANUEL HOSPITAL AND HEALTH CENTER
LEHIGH UNIVERSITY,LEHIGH UNIVERSITY,LEHIGH UNIVERSITY
LEHIGH UNIVERSITY,LEIGH HIGH UNIVERSITY,LEIGH HIGH UNIVERSITY
LIGHTHOUSE INTERNATIONAL,LIGHTHOUSE INTERNATIONAL,LIGHTHOUSE INTERNATIONAL
LINUS PAULING INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LOMA LINDA UNIVERSITY,LOMA LINDA UNIVERSITY,LOMA LINDA UNIVERSITY
LOMA LINDA VETERANS ASSOCIATION FOR RESEARCH EDUCATION,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LONG BEACH MEMORIAL MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LOS ANGELES BIOMEDICAL RESEARCH INSTITUTE (HARBOR UCLA MEDICAL CENTER),LOS ANGELES BIOMEDICAL RESEARCH INSTITUTE,LOS ANGELES BIOMEDICAL RESEARCH INSTITUTE
LOS ANGELES COUNTY - HARBOR-UCLA MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LOS ANGELES COUNTY - UNIVERSITY OF SOUTHERN CALIFORNIA MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LOUISIANA STATE UNIVERSITY AGRICULTURAL AND MECHANICAL COLLEGE AT BATON ROUGE,LOUISIANA STATE UNIVERSITY,LOUISIANA STATE UNIVERSITY
LOUISIANA STATE UNIVERSITY AT SHREVEPORT,LOUISIANA STATE UNIVERSITY AT SHREVEPORT CAMPUS,LOUISIANA STATE UNIVERSITY AT SHREVEPORT CAMPUS
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER AT NEW ORLEANS,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER AT NEW ORLEANS,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER AT NEW ORLEANS
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER AT NEW ORLEANS,LOUISIANA STATE UNIVERSITY MEDICAL CENTER,LOUISIANA STATE UNIVERSITY MEDICAL CENTER
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER AT SHREVEPORT,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER AT SHREVEPORT,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER AT SHREVEPORT
LOUISIANA STATE UNIVERSITY PENNINGTON BIOMEDICAL RESEARCH CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LOUISIANA TECH UNIVERSITY,LOUISIANA TECH UNIVERSITY,LOUISIANA TECH UNIVERSITY
LOVELACE BIOMEDICAL AND ENVIRONMENTAL RESEARCH,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LOVELACE RESPIRATORY RESEARCH INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LOYOLA UNIVERSITY IN NEW ORLEANS,LOYOLA UNIVERSITY,LOYOLA UNIVERSITY
LOYOLA UNIVERSITY MEDICAL CENTER,LOYOLA UNIVERSITY OF CHICAGO,LOYOLA UNIVERSITY OF CHICAGO
LUCILE SALTER PACKARD CHILDRENS HOSPITAL AT STANFORD,,RELEVANT INSTITUTION NOT IN AGREEMENTS
LUDWIG INSTITUTE FOR CANCER RESEARCH,LUDWIG INSTITUTE FOR CANCER RESEARCH,LUDWIG INSTITUTE FOR CANCER RESEARCH
MACALESTER COLLEGE,MACALESTER COLLEGE,MACALESTER COLLEGE
MADLYN AND LEONARD ABRAMSON CENTER FOR JEWISH LIFE,MADLYN AND LEONARD ABRAMSON CENTER FOR JEWISH LIFE,MADLYN AND LEONARD ABRAMSON CENTER FOR JEWISH LIFE
MAGEE-WOMENS HEALTH CORPORATION,,RELEVANT INSTITUTION NOT IN AGREEMENTS
MAHARISHI UNIVERSITY OF MANAGEMENT,MAHARISHI UNIVERSITY OF MANAGEMENT,MAHARISHI UNIVERSITY OF MANAGEMENT
MAIMONIDES MEDICAL CENTER,MAIMONIDES MEDICAL CENTER,MAIMONIDES MEDICAL CENTER
MAINE MEDICAL CENTER,MAINE MEDICAL CENTER,MAINE MEDICAL CENTER
MALLORY INSTITUTE OF PATHOLOGY,,RELEVANT INSTITUTION NOT IN AGREEMENTS
MANHATTAN COLLEGE,MANHATTAN COLLEGE,MANHATTAN COLLEGE
MARINE BIOLOGICAL LABORATORY,MARINE BIOLOGICAL LABORATORY,MARINE BIOLOGICAL LABORATORY
MARQUETTE UNIVERSITY,MARQUETTE UNIVERSITY,MARQUETTE UNIVERSITY
MARSHALL UNIVERSITY,MARSHALL UNIVERSITY,MARSHALL UNIVERSITY
MARSHFIELD CLINIC RESEARCH FOUNDATION,MARSHFIELD CLINIC RESEARCH FOUNDATION,MARSHFIELD CLINIC RESEARCH FOUNDATION
MARY IMOGENE BASSETT HOSPITAL,BASSETT HEALTHCARE,BASSETT HEALTHCARE
"MARYLAND MEDICAL RESEARCH INSTITUTE, INC","MARYLAND MEDICAL RESEARCH INSTITUTE, INC.","MARYLAND MEDICAL RESEARCH INSTITUTE, INC."
MASONIC MEDICAL RESEARCH LABORATORY,MASONIC MEDICAL RESEARCH LABORATORY,MASONIC MEDICAL RESEARCH LABORATORY
MASSACHUSETTS COLLEGE OF PHARMACY AND HEALTH SCIENCES,MASS COLLEGE OF PHARMACY AND ALLIED HEALTH SERVICE,MASS COLLEGE OF PHARMACY AND ALLIED HEALTH SERVICE
MASSACHUSETTS COLLEGE OF PHARMACY AND HEALTH SCIENCES,MASSACHUSETTS COLLEGE OF PHARMACY AND HEALTH SCIENCES,MASSACHUSETTS COLLEGE OF PHARMACY AND HEALTH SCIENCES
MASSACHUSETTS EYE AND EAR INFIRMARY,MASSACHUSETTS EYE AND EAR INFIRMARY,MASSACHUSETTS EYE AND EAR INFIRMARY
MASSACHUSETTS GENERAL HOSPITAL,MASSACHUSETTS GENERAL HOSPITAL,MASSACHUSETTS GENERAL HOSPITAL
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (CORRECTED COPY),MASSACHUSETTS INSTITUTE OF TECHNOLOGY (CORRECTED COPY)
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTSETTS INSTITUTE OF TECHNOLOGY,MASSACHUSETTSETTS INSTITUTE OF TECHNOLOGY
MASSACHUSETTS MENTAL HEALTH CENTER,MASSACHUSETTS MENTAL HEALTH RESEARCH CORPORATION,MASSACHUSETTS MENTAL HEALTH RESEARCH CORPORATION
MAYO CLINIC COLLEGE OF MEDICINE,MAYO CLINIC ROCHESTER,MAYO CLINIC ROCHESTER
MAYO CLINIC COLLEGE OF MEDICINE (ARIZONA),MAYO CLINIC ARIZONA,MAYO CLINIC ARIZONA
MAYO CLINIC COLLEGE OF MEDICINE (FLORIDA),MAYO CLINIC JACKSONVILLE,MAYO CLINIC JACKSONVILLE
MCLAUGHLIN RESEARCH INSTITUTE,MCLAUGHLIN RESEARCH INSTITUTE,MCLAUGHLIN RESEARCH INSTITUTE
MCLEAN HOSPITAL,MCLEAN HOSPITAL,MCLEAN HOSPITAL
MEDICAL BIOLOGY INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
MEDICAL COLLEGE OF GEORGIA,MEDICAL COLLEGE OF GEORGIA,MEDICAL COLLEGE OF GEORGIA
MEDICAL COLLEGE OF WISCONSIN,MEDICAL COLLEGE OF WISCONSIN,MEDICAL COLLEGE OF WISCONSIN
MEDICAL UNIVERSITY OF SOUTH CAROLINA,MEDICAL UNIVERSITY OF SOUTH CAROLINA,MEDICAL UNIVERSITY OF SOUTH CAROLINA
MEDLANTIC RESEARCH INSTITUTE,MEDSTAR RESEARCH INSTITUTE,MEDSTAR RESEARCH INSTITUTE
MEHARRY MEDICAL COLLEGE,MEHARRY MEDICAL COLLEGE,MEHARRY MEDICAL COLLEGE
MEMORIAL HOSPITAL OF RHODE ISLAND,MEMORIAL HOSPITAL OF RHODE ISLAND,MEMORIAL HOSPITAL OF RHODE ISLAND
MEMORIAL SLOAN KETTERING CANCER CENTER,SLOAN-KETTERING INSTITUTE FOR CANCER RESEARCH,SLOAN-KETTERING INSTITUTE FOR CANCER RESEARCH
MENNINGER FOUNDATION,,RELEVANT INSTITUTION NOT IN AGREEMENTS
MENORAH PARK CENTER FOR AGING,MENORAH PARK CENTER FOR AGING,MENORAH PARK CENTER FOR AGING
MERCER UNIVERSITY AT MACON,MERCER UNIVERSITY,MERCER UNIVERSITY
MERCY CATHOLIC MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
MERCY HOSPITAL AND MEDICAL CENTER (CHICAGO),,RELEVANT INSTITUTION NOT IN AGREEMENTS
METROHEALTH MEDICAL CENTER,METROHEALTH MEDICAL CENTER,CASE WESTERN RESERVE UNIVERSITY
METROHEALTH MEDICAL CENTER,METROHEALTH MEDICAL CENTER,METROHEALTH MEDICAL CENTER
MIAMI UNIVERSITY AT OXFORD,MIAMI UNIVERSITY,MIAMI UNIVERSITY
MICHAEL REESE HOSPITAL AND MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
MICHIGAN STATE UNIVERSITY,MICHIGAN STATE UNIVERSITY,MICHIGAN STATE UNIVERSITY
MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY
MIDDLEBURY COLLEGE,MIDDLEBURY COLLEGE,MIDDLEBURY COLLEGE
MINNEAPOLIS MEDICAL RESEARCH FOUNDATION,MINNEAPOLIS MEDICAL RESEARCH FOUNDATION,MINNEAPOLIS MEDICAL RESEARCH FOUNDATION
MIRIAM HOSPITAL,THE MIRIAM,THE MIRIAM
MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE UNIVERSITY
MOLECULAR RESEARCH INSTITUTE,MOLECULAR RESEARCH INSTITUTE,MOLECULAR RESEARCH INSTITUTE
MONELL CHEMICAL SENSES CENTER,MONELL CHEMICAL SENSES CENTER,MONELL CHEMICAL SENSES CENTER
MONTANA STATE UNIVERSITY AT BOZEMAN,MONTANA STATE UNIVERSITY AT BOZEMAN,MONTANA STATE UNIVERSITY AT BOZEMAN
MONTEFIORE HOSPITAL AND MEDICAL CENTER,MONTEFIORE HOSPITAL AND MEDICAL CENTER,MONTEFIORE HOSPITAL AND MEDICAL CENTER
MOREHOUSE COLLEGE,MOREHOUSE COLLEGE,MOREHOUSE COLLEGE
MOREHOUSE SCHOOL OF MEDICINE,MOREHOUSE SCHOOL OF MEDICINE,MOREHOUSE SCHOOL OF MEDICINE
MOSS REHABILITATION HOSPITAL,MOSS REHABILITATION HOSPITAL,ALBERT EINSTEIN HEALTHCARE NETWORK
MOUNT HOLYOKE COLLEGE,MOUNT HOLYOKE COLLEGE,MOUNT HOLYOKE COLLEGE
MOUNT SINAI HOSPITAL (MINNEAPOLIS),,RELEVANT INSTITUTION NOT IN AGREEMENTS
MOUNT SINAI MEDICAL CENTER (MIAMI BEACH),MOUNT SINAI MEDICAL CENTER OF GREATER MIAMI,MOUNT SINAI MEDICAL CENTER OF GREATER MIAMI
MOUNT SINAI SCHOOL OF MEDICINE,MOUNT SINAI SCHOOL OF MEDICINE,MOUNT SINAI SCHOOL OF MEDICINE
MOUNT ZION HOSPITAL AND MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
NARROWS INSTITUTE FOR BIOMEDICAL RESEARCH INC,"NARROWS INSTITUTE FOR BIOMEDICAL RESEARCH, INC.","NARROWS INSTITUTE FOR BIOMEDICAL RESEARCH, INC."
NASSAU UNIVERSITY MEDICAL CENTER,,RELEVANT INSTITUTION NOT IN AGREEMENTS
NATIONAL BIOMEDICAL RESEARCH FOUNDATION,"NATIONAL BIOMEDICAL RESEARCH FOUNDATION, INC.","NATIONAL BIOMEDICAL RESEARCH FOUNDATION, INC."
NATIONAL BUREAU OF ECONOMIC RESEARCH,,RELEVANT INSTITUTION NOT IN AGREEMENTS
NATIONAL CENTER ON ADDICTION AND SUBSTANCE ABUSE AT COLUMBIA UNIVERSITY,NATIONAL CENTER ON ADDICTION AND SUBSTANCE ABUSE AT COLUMBIA UNIVERSITY,NATIONAL CENTER ON ADDICTION AND SUBSTANCE ABUSE AT COLUMBIA UNIVERSITY
NATIONAL DEVELOPMENT AND RESEARCH INSTITUTES,"NATIONAL DEVELOPMENT AND RESEARCH INSTITUTES, INC.","NATIONAL DEVELOPMENT AND RESEARCH INSTITUTES, INC."
NATIONAL JEWISH MEDICAL AND RESEARCH CENTER,NATIONAL JEWISH MEDICAL AND RESEARCH CENTER,NATIONAL JEWISH MEDICAL AND RESEARCH CENTER
NATIONAL OPINION RESEARCH CENTER,NATIONAL OPINION RESEARCH CENTER,NATIONAL OPINION RESEARCH CENTER
NATIONAL POLYTECHNIC INSTITUTE,,RELEVANT INSTITUTION NOT IN AGREEMENTS
NAYLOR DANA INSTITUTE FOR DISEASE PREVENTION,,RELEVANT INSTITUTION NOT IN AGREEMENTS
NEMOURS FOUNDATION,NEMOURS FOUNDATION,NEMOURS FOUNDATION
NEUROPSYCHIATRIC RESEARCH INSTITUTE,NEUROPSYCHIATRIC RESEARCH INSTITUTE,NEUROPSYCHIATRIC RESEARCH INSTITUTE
NEW ENGLAND COLLEGE OF OPTOMETRY,NEW ENGLAND COLLEGE OF OPTOMETRY,NEW ENGLAND COLLEGE OF OPTOMETRY
NEW ENGLAND DEACONESS HOSPITAL,,RELEVANT INSTITUTION NOT IN AGREEMENTS
"NEW ENGLAND RESEARCH INSTITUTES, INC.",,RELEVANT INSTITUTION NOT IN AGREEMENTS
NEW JERSEY INSTITUTE OF TECHNOLOGY,NEW JERSEY INSTITUTE OF TECHNOLOGY,NEW JERSEY INSTITUTE OF TECHNOLOGY
NEW MEXICO HIGHLANDS UNIVERSITY,NEW MEXICO HIGHLANDS UNIVERSITY,NEW MEXICO HIGHLANDS UNIVERSITY
NEW MEXICO STATE UNIVERSITY AT LAS CRUCES,NEW MEXICO STATE UNIVERSITY,NEW MEXICO STATE UNIVERSITY
NEW YORK BLOOD CENTER,"NEW YORK BLOOD CENTER, INC.","NEW YORK BLOOD CENTER, INC."
NEW YORK INSTITUTE OF TECHNOLOGY,NEW YORK INSTITUTE OF TECHNOLOGY,NEW YORK INSTITUTE OF TECHNOLOGY
NEW YORK MEDICAL COLLEGE,NEW YORK MEDICAL COLLEGE,NEW YORK MEDICAL COLLEGE
NEW YORK STATE PSYCHIATRIC INSTITUTE,NEW YORK PSYCHIATRIC INSTITUTE,"RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC."
NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY
NEW YORK UNIVERSITY MEDICAL CENTER,NEW YORK UNIVERSITY MEDICAL CENTER,NEW YORK UNIVERSITY MEDICAL CENTER
NEW YORK UNIVERSITY MEDICAL CENTER,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK UNIVERSITY MEDICAL CENTER
NEW YORK UNIVERSITY MEDICAL CENTER,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NEW YORK UNIVERSITY SCHOOL OF MEDICINE
NEW YORK UNIVERSITY TANDON SCHOOL OF ENGINEERING,POLYTECHNIC UNIVERSITY,POLYTECHNIC UNIVERSITY
NEWARK BETH ISRAEL MEDICAL CENTER,NEWARK BETH ISRAEL MEDICAL CENTER,NEWARK BETH ISRAEL MEDICAL CENTER
NORTH CAROLINA CENTRAL UNIVERSITY,NORTH CAROLINA CENTRAL UNIVERSITY,NORTH CAROLINA CENTRAL UNIVERSITY
NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,NORTH CAROLINA STATE UNIVERSITY,NORTH CAROLINA STATE UNIVERSITY
"NORTH CHARLES MENTAL HEALTH RESEARCH AND TRAINING FOUNDATION, INC.","NORTH CHARLES MENTAL HEALTH RESEARCH AND TRAINING FOUNDATION, INC.","NORTH CHARLES MENTAL HEALTH RESEARCH AND TRAINING FOUNDATION, INC."
NORTH DAKOTA STATE UNIVERSITY,NORTH DAKOTA STATE UNIVERSITY,NORTH DAKOTA STATE UNIVERSITY
NORTH SHORE - LONG ISLAND JEWISH MEDICAL CENTER,NORTH SHIRE LONG ISLAND JEWISH HEALTH SYSTEM,NORTH SHIRE LONG ISLAND JEWISH HEALTH SYSTEM
NORTH SHORE - LONG ISLAND JEWISH MEDICAL CENTER,NORTH SHORE - LONG ISLAND JEWISH HEALTH SYSTEM,NORTH SHORE - LONG ISLAND JEWISH HEALTH SYSTEM
NORTH SHORE UNIVERSITY HOSPITAL,,RELEVANT INSTITUTION NOT IN AGREEMENTS
NORTHEASTERN OHIO UNIVERSITY COLLEGE OF MEDICINE,NORTHEASTERN OHIO UNIVERSITY COLLEGE OF MEDICINE,NORTHEASTERN OHIO UNIVERSITY COLLEGE OF MEDICINE
NORTHEASTERN UNIVERSITY,NORTHEASTERN UNIVERSITY,NORTHEASTERN UNIVERSITY
NORTHERN ARIZONA UNIVERSITY,NORTHERN ARIZONA UNIVERSITY,NORTHERN ARIZONA UNIVERSITY
NORTHERN CALIFORNIA CANCER CENTER,NORTHERN CALIFORNIA CANCER CENTER,NORTHERN CALIFORNIA CANCER CENTER
NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH AND EDUCATION,NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH AND EDUCATION,NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH AND EDUCATION
NORTHERN ILLINOIS UNIVERSITY,NORTHERN ILLINOIS UNIVERSITY,NORTHERN ILLINOIS UNIVERSITY
NORTHWESTERN MEMORIAL HOSPITAL,,RELEVANT INSTITUTION NOT IN AGREEMENTS
NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY,NORTHWESTERN UNIVERSITY
NOVA SOUTHEASTERN UNIVERSITY,NOVA SOUTHEASTERN UNIVERSITY,NOVA SOUTHEASTERN UNIVERSITY
OAKLAND UNIVERSITY,OAKLAND UNIVERSITY,OAKLAND UNIVERSITY
OBERLIN COLLEGE,OBERLIN COLLEGE,OBERLIN COLLEGE
OCHSNER CLINIC FOUNDATION,OCHSNER CLINIC FOUNDATION,OCHSNER CLINIC FOUNDATION
OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY,OHIO STATE UNIVERSITY
OHIO UNIVERSITY AT ATHENS,OHIO UNIVERSITY,OHIO UNIVERSITY
OKLAHOMA MEDICAL RESEARCH FOUNDATION,OKLAHOMA MEDICAL RESEARCH FOUNDATION,OKLAHOMA MEDICAL RESEARCH FOUNDATION
OKLAHOMA STATE UNIVERSITY AT STILLWATER,OKLAHOMA STATE UNIVERSITY AT STILLWATER,OKLAHOMA STATE UNIVERSITY
OKLAHOMA STATE UNIVERSITY CENTER FOR HEALTH SCIENCES,OKLAHOMA STATE UNIVERSITY CENTER FOR HEALTH SCIENCES,OKLAHOMA STATE UNIVERSITY
OLD DOMINION UNIVERSITY,OLD DOMINION UNIVERSITY,OLD DOMINION UNIVERSITY
OLD DOMINION UNIVERSITY,OLD DOMINION UNIVERSITY RESEARCH FOUNDATION,OLD DOMINION UNIVERSITY RESEARCH FOUNDATION
OLIVE VIEW-UCLA EDUCATION AND RESEARCH INSTITUTE,OLIVE VIEW-UCLA EDUCATION AND RESEARCH INSTITUTE,OLIVE VIEW-UCLA EDUCATION AND RESEARCH INSTITUTE
